In-major,req-options,Options,Correlates,Capstone,,,,
PHY 099,PHY 306,PHY 220,MAT 127,PHY 451,,,,
PHY 203,,PHY 311,MAT 128,,,,,
PHY 204,MAT 205,PHY 345,,,,,,
PHY 321,MAT 229,PHY 411,,,,,,
PHY 401,,PHY 413,,,,,,
PHY 356,,PHY 431,,,,,,
PHY 421,,PHY 426,,,,,,
PHY 299,,PHY 425,,,,,,
,,PHY 422,,,,,,
,,PHY 436,,,,,,
,,PHY 466,,,,,,
,,PHY 490,,,,,,
,,PHY 393,,,,,,
,,PHY 390,,,,,,
,,PHY 493,,,,,,
,,PHY 361,,,,,,
,,PHY 345,,,,,,
,,PHY 336,,,,,,
,,PHY 316,,,,,,
,,PHY 290,,,,,,
,,PHY 291,,,,,,
,,PHY 370,,,,,,
,,PHY 371,,,,,,
